,id,day,name,a_code,h_code,a_price,h_price,a_quote_change,h_quote_change,h_a_comp
0,584546,2014-06-25,万科A,000002.XSHE,02202,8.13,13.28,0.4944,0.0,0.7624
1,584547,2014-06-26,万科A,000002.XSHE,02202,8.26,14.18,1.599,6.78,0.7251
2,584548,2014-06-27,万科A,000002.XSHE,02202,8.32,13.92,0.7264,-1.83,0.7453
3,584549,2014-06-30,万科A,000002.XSHE,02202,8.27,13.76,-0.601,-1.15,0.7498
4,584550,2014-07-01,万科A,000002.XSHE,02202,8.1,13.76,-2.0556,-1.15,0.7362
5,584551,2014-07-02,万科A,000002.XSHE,02202,8.12,14.24,0.2469,3.49,0.7138
6,584552,2014-07-03,万科A,000002.XSHE,02202,8.15,14.6,0.3695,2.53,0.6972
7,584553,2014-07-04,万科A,000002.XSHE,02202,8.47,15.8,3.9264,8.22,0.6696
8,584554,2014-07-07,万科A,000002.XSHE,02202,8.76,15.7,3.4238,-0.63,0.6975
9,584555,2014-07-08,万科A,000002.XSHE,02202,8.68,15.9,-0.9132,1.27,0.6827
10,584556,2014-07-09,万科A,000002.XSHE,02202,8.56,15.52,-1.3825,-2.39,0.6901
11,584557,2014-07-10,万科A,000002.XSHE,02202,8.69,15.5,1.5187,-0.13,0.7018
12,584558,2014-07-11,万科A,000002.XSHE,02202,8.81,15.26,1.3809,-1.55,0.7223
13,584559,2014-07-14,万科A,000002.XSHE,02202,8.88,15.2,0.7946,-0.39,0.7304
14,584560,2014-07-15,万科A,000002.XSHE,02202,8.86,15.5,-0.2252,1.97,0.7147
15,584561,2014-07-16,万科A,000002.XSHE,02202,8.7,15.46,-1.8059,-0.26,0.7034
16,584562,2014-07-17,万科A,000002.XSHE,02202,8.61,15.32,-1.0345,-0.91,0.7029
17,584563,2014-07-18,万科A,000002.XSHE,02202,8.89,15.68,3.252,2.35,0.7095
18,584564,2014-07-21,万科A,000002.XSHE,02202,8.94,15.76,0.5624,0.51,0.7129
19,584565,2014-07-22,万科A,000002.XSHE,02202,9.18,16.2,2.6846,2.79,0.7082
20,584566,2014-07-23,万科A,000002.XSHE,02202,9.39,17.12,2.2876,5.68,0.6862
21,584567,2014-07-24,万科A,000002.XSHE,02202,9.77,17.38,4.0469,1.52,0.7038
22,584568,2014-07-25,万科A,000002.XSHE,02202,9.81,16.7,0.4094,-3.91,0.7358
23,584569,2014-07-28,万科A,000002.XSHE,02202,9.85,16.82,0.4077,0.72,0.7337
24,584570,2014-07-29,万科A,000002.XSHE,02202,10.0,16.78,1.5228,-0.24,0.7473
25,584571,2014-07-30,万科A,000002.XSHE,02202,9.63,16.5,-3.7,-1.67,0.7327
26,584572,2014-07-31,万科A,000002.XSHE,02202,9.9,17.16,2.8037,4.0,0.7254
27,584573,2014-08-01,万科A,000002.XSHE,02202,9.74,16.9,-1.6162,-1.52,0.7243
28,584574,2014-08-04,万科A,000002.XSHE,02202,9.95,17.02,2.1561,0.71,0.734
29,584575,2014-08-05,万科A,000002.XSHE,02202,9.74,16.86,-2.1106,-0.94,0.7255
30,584576,2014-08-06,万科A,000002.XSHE,02202,9.58,16.84,-1.6427,-0.12,0.7153
31,584577,2014-08-07,万科A,000002.XSHE,02202,9.52,16.38,-0.6263,-2.73,0.7317
32,584578,2014-08-08,万科A,000002.XSHE,02202,9.44,15.38,-0.8403,-6.11,0.7728
33,584579,2014-08-11,万科A,000002.XSHE,02202,9.61,15.98,1.8008,3.9,0.7578
34,584580,2014-08-12,万科A,000002.XSHE,02202,9.56,16.34,-0.5203,2.25,0.7379
35,584581,2014-08-13,万科A,000002.XSHE,02202,9.55,16.78,-0.1046,2.69,0.7171
36,584582,2014-08-14,万科A,000002.XSHE,02202,9.36,16.2,-1.9895,-3.46,0.7287
37,584583,2014-08-15,万科A,000002.XSHE,02202,9.4,16.16,0.4274,-0.25,0.7336
38,584584,2014-08-18,万科A,000002.XSHE,02202,9.38,15.8,-0.2128,-2.23,0.749
39,584585,2014-08-19,万科A,000002.XSHE,02202,9.4,15.6,0.2132,-1.27,0.761
40,584586,2014-08-20,万科A,000002.XSHE,02202,9.21,15.5,-2.0213,-0.64,0.7509
41,584587,2014-08-21,万科A,000002.XSHE,02202,9.33,15.28,1.3029,-1.42,0.7718
42,584588,2014-08-22,万科A,000002.XSHE,02202,9.35,15.14,0.2144,-0.92,0.7789
43,584589,2014-08-25,万科A,000002.XSHE,02202,9.16,14.86,-2.0321,-1.85,0.7748
44,584590,2014-08-26,万科A,000002.XSHE,02202,9.16,15.08,0.0,1.48,0.7659
45,584591,2014-08-27,万科A,000002.XSHE,02202,9.16,14.76,0.0,-2.12,0.7827
46,584592,2014-08-28,万科A,000002.XSHE,02202,9.02,14.28,-1.5284,-3.25,0.7979
47,584593,2014-08-29,万科A,000002.XSHE,02202,9.12,14.52,1.1086,1.68,0.7933
48,584594,2014-09-01,万科A,000002.XSHE,02202,9.17,14.4,0.5482,-0.83,0.8036
