,open,close,high,low,volume,money
2015-01-05 10:30:00,11.52,11.89,12.24,11.39,526167351.0,6197257328.0
2015-01-05 11:30:00,11.89,11.84,11.96,11.6,95297727.0,1124927766.0
2015-01-05 14:00:00,11.84,12.0,12.04,11.84,86255245.0,1030695417.0
2015-01-05 15:00:00,12.0,11.93,12.2,11.91,112065715.0,1347814900.0
2015-01-06 10:30:00,11.68,11.84,12.0,11.58,157714736.0,1851974923.0
2015-01-06 11:30:00,11.82,11.34,11.88,11.34,108060024.0,1245292545.0
2015-01-06 14:00:00,11.34,11.48,11.64,11.26,75720587.0,865750535.0
2015-01-06 15:00:00,11.48,11.49,11.59,11.34,76635604.0,876414473.0
2015-01-07 10:30:00,11.41,11.44,11.59,11.3,119549687.0,1368086560.0
2015-01-07 11:30:00,11.46,11.41,11.6,11.36,79454506.0,913746678.0
2015-01-07 14:00:00,11.41,11.28,11.48,11.21,70771009.0,803477642.0
2015-01-07 15:00:00,11.29,11.39,11.51,11.25,60352930.0,686932996.0
2015-01-08 10:30:00,11.46,10.9,11.48,10.77,163792872.0,1815903435.0
2015-01-08 11:30:00,10.92,10.92,11.08,10.89,49587365.0,544350458.0
2015-01-08 14:00:00,10.92,10.9,10.95,10.8,59559986.0,648122108.0
2015-01-08 15:00:00,10.9,10.88,11.04,10.84,56855913.0,621233333.0
2015-01-09 10:30:00,10.84,10.65,11.0,10.65,105033447.0,1135137655.0
2015-01-09 11:30:00,10.66,10.84,10.84,10.64,46041238.0,493431678.0
2015-01-09 14:00:00,10.84,11.22,11.36,10.83,116031674.0,1288931355.0
2015-01-09 15:00:00,11.22,10.76,11.38,10.69,144556718.0,1604523507.0
2015-01-12 10:30:00,10.66,10.52,10.66,10.46,91496957.0,965932227.0
2015-01-12 11:30:00,10.55,10.37,10.64,10.33,69075415.0,724780078.0
2015-01-12 14:00:00,10.37,10.32,10.4,10.24,71564448.0,738072314.0
2015-01-12 15:00:00,10.32,10.5,10.54,10.21,72287542.0,752089402.0
2015-01-13 10:30:00,10.44,10.55,10.71,10.39,84313998.0,892137105.0
2015-01-13 11:30:00,10.56,10.51,10.64,10.4,51816869.0,543697410.0
2015-01-13 14:00:00,10.52,10.5,10.54,10.42,30957352.0,324274430.0
2015-01-13 15:00:00,10.5,10.46,10.52,10.42,40907235.0,427859776.0
2015-01-14 10:30:00,10.46,10.5,10.63,10.44,73430725.0,773656162.0
2015-01-14 11:30:00,10.48,10.57,10.64,10.48,36372370.0,383394554.0
2015-01-14 14:00:00,10.57,10.52,10.6,10.47,30321719.0,319111916.0
2015-01-14 15:00:00,10.53,10.48,10.53,10.32,65647500.0,684221466.0
2015-01-15 10:30:00,10.51,10.84,10.87,10.4,108529717.0,1156379713.0
2015-01-15 11:30:00,10.84,10.72,10.84,10.6,44331028.0,474770428.0
2015-01-15 14:00:00,10.71,10.7,10.76,10.62,35104984.0,375380771.0
2015-01-15 15:00:00,10.68,11.02,11.06,10.68,115627205.0,1259010572.0
2015-01-16 10:30:00,11.02,10.96,11.02,10.81,101972389.0,1114228723.0
2015-01-16 11:30:00,10.96,10.8,10.99,10.72,62823099.0,679818002.0
2015-01-16 14:00:00,10.8,10.84,10.93,10.75,52490860.0,569259451.0
2015-01-16 15:00:00,10.83,10.82,10.92,10.79,48794796.0,528967678.0
2015-01-19 10:30:00,10.0,10.07,10.32,9.88,193880560.0,1960008110.0
2015-01-19 11:30:00,10.07,9.76,10.08,9.74,156611538.0,1551649854.0
2015-01-19 14:00:00,9.77,9.74,9.8,9.74,84166054.0,820097550.0
2015-01-19 15:00:00,9.74,9.74,9.74,9.74,15620182.0,152137616.0
2015-01-20 10:30:00,9.76,9.92,10.07,9.66,182444876.0,1808317190.0
2015-01-20 11:30:00,9.92,9.9,10.08,9.88,61217221.0,610754587.0
2015-01-20 14:00:00,9.91,9.76,9.97,9.68,62419505.0,612407677.0
2015-01-20 15:00:00,9.76,9.88,9.99,9.74,58113049.0,573500237.0
2015-01-21 10:30:00,9.87,10.08,10.13,9.7,125557970.0,1248932089.0
